fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-07-01,8096,1505,7210,1377,0.18589426877470355,0.19098474341192787
2021-07-02,8459,1621,7578,1505,0.19163021633762856,0.19860121404064396
2021-07-03,3170,707,2813,615,0.22302839116719242,0.2186277995023107
2021-07-04,2452,441,2208,397,0.17985318107667211,0.17980072463768115
2021-07-05,10545,2217,9578,2054,0.21024182076813655,0.21444978074754645
2021-07-06,11643,2458,10196,2243,0.21111397406166796,0.21998823067869752
2021-07-07,11559,2688,10378,2487,0.23254606799896185,0.2396415494314897
2021-07-08,12968,2693,11563,2449,0.20766502159161013,0.21179624664879357
2021-07-09,12655,2711,11459,2491,0.21422362702489134,0.217383715856532
2021-07-10,3914,839,3450,785,0.2143587123147675,0.22753623188405797
2021-07-11,3599,853,3196,761,0.23701028063350932,0.2381101376720901
2021-07-12,14574,3384,13046,3069,0.23219431864965007,0.23524451939291738
2021-07-13,16505,3521,14866,3248,0.21332929415328689,0.21848513386250504
2021-07-14,15797,3579,14114,3237,0.22656200544407165,0.22934674790987672
2021-07-15,16393,3454,14544,3141,0.21069968889160007,0.21596534653465346
2021-07-16,14738,3147,13201,2825,0.21352965124168816,0.21399893947428225
2021-07-17,5588,1127,4973,1026,0.20168217609162492,0.20631409611904283
2021-07-18,4874,1044,4149,929,0.2141977841608535,0.22390937575319353
2021-07-19,17562,4331,15583,3856,0.24661200318870288,0.24744914329718282
2021-07-20,18096,4334,16079,3910,0.23950044208664897,0.24317432676161452
2021-07-21,18965,4533,16875,4111,0.2390192459794358,0.2436148148148148
2021-07-22,19105,4343,16663,3797,0.22732269039518452,0.22787013142891435
2021-07-23,17476,3953,15395,3497,0.22619592584115358,0.22715167262098085
2021-07-24,6540,1701,5703,1465,0.26009174311926603,0.2568823426266877
2021-07-25,5999,1306,5198,1107,0.21770295049174862,0.21296652558676413
2021-07-26,17755,4566,15598,3941,0.25716699521261616,0.2526605975125016
2021-07-27,19228,4770,16830,4205,0.24807572290409818,0.24985145573380868
2021-07-28,19502,4548,17146,4010,0.23320685057942775,0.23387378980520238
2021-07-29,19719,4774,17367,4205,0.24210152644657437,0.24212587090458917
2021-07-30,18548,4886,16521,4326,0.26342462799223637,0.26184855638278554
2021-07-31,5193,1458,4668,1273,0.2807625649913345,0.2727077977720651
2021-08-01,5373,1062,4474,907,0.19765494137353434,0.20272686633884668
2021-08-02,17978,4435,15842,3856,0.24669039937701634,0.2434036106552203
2021-08-03,19863,5122,17609,4540,0.25786638473543777,0.25782270429893805
2021-08-04,19101,4952,16844,4312,0.2592534422281556,0.2559962004274519
2021-08-05,19543,4811,17206,4205,0.2461751010592028,0.24439149134023017
2021-08-06,17640,4356,15617,3774,0.24693877551020407,0.2416597297816482
2021-08-07,6509,1822,5740,1605,0.2799201106160701,0.27961672473867594
2021-08-08,5192,1229,4602,1087,0.23671032357473035,0.23620165145588876
2021-08-09,17289,4373,15125,3778,0.25293539244606394,0.24978512396694214
2021-08-10,20473,4840,18093,4252,0.23640892883309725,0.23500801414911845
2021-08-11,21601,5373,19097,4759,0.2487384843294292,0.24920144525318114
2021-08-12,21790,4556,19237,4042,0.2090867370353373,0.21011592244112906
2021-08-13,19897,4202,17578,3704,0.21118761622355128,0.21071794288314938
2021-08-14,6846,1757,6053,1575,0.25664621676891614,0.2602015529489509
2021-08-15,5425,938,4703,789,0.17290322580645162,0.16776525621943442
2021-08-16,17005,3344,14895,2911,0.19664804469273742,0.1954347096341054
2021-08-17,19254,4435,16820,3885,0.23034174716941935,0.23097502972651604
2021-08-18,22670,4689,19970,4196,0.20683722981914424,0.2101151727591387
2021-08-19,20887,3836,18366,3394,0.18365490496481066,0.18479799629750626
2021-08-20,19635,3802,17460,3371,0.19363381716322892,0.19306987399770906
2021-08-21,6586,1390,5688,1215,0.21105375037959306,0.21360759493670886
2021-08-22,5930,1020,5188,915,0.17200674536256325,0.1763685427910563
2021-08-23,17637,3477,15332,3005,0.1971423711515564,0.195995303939473
2021-08-24,18837,3787,16415,3271,0.2010405053883315,0.19926896131586963
2021-08-25,18227,3417,15845,2960,0.18746913918911504,0.18680971915430736
2021-08-26,17978,3053,15688,2703,0.16981866725998443,0.17229729729729729
2021-08-27,16207,2755,14083,2403,0.16998827667057445,0.17063125754455727
2021-08-28,4696,1002,4099,873,0.21337308347529813,0.21297877531105147
2021-08-29,4043,634,3523,548,0.1568142468464012,0.15554924780017032
2021-08-30,14128,2558,12349,2189,0.18105889014722537,0.17726131670580614
2021-08-31,14867,2705,13023,2384,0.18194659312571468,0.18306073869308148
2021-09-01,15279,2620,13328,2331,0.17147719091563585,0.17489495798319327
2021-09-02,14571,2433,12720,2169,0.16697549927939057,0.1705188679245283
2021-09-03,15139,2440,13130,2157,0.16117312900455777,0.16428027418126429
2021-09-04,5319,970,4429,824,0.18236510622297425,0.18604651162790697
2021-09-05,4270,694,3650,602,0.16252927400468384,0.16493150684931507
2021-09-06,14210,2598,12473,2311,0.1828289936664321,0.18528020524332559
2021-09-07,13969,2519,12104,2225,0.18032786885245902,0.18382352941176472
2021-09-08,11948,2095,10384,1846,0.17534315366588551,0.17777349768875192
2021-09-09,12297,2039,10862,1824,0.16581279986988695,0.1679248757134966
2021-09-10,11977,1825,10353,1617,0.15237538615680055,0.15618661257606492
2021-09-11,3892,658,3390,590,0.16906474820143885,0.17404129793510326
2021-09-12,3138,533,2705,457,0.1698534098151689,0.1689463955637708
2021-09-13,12819,2332,11292,2106,0.1819174662610188,0.18650371944739638
2021-09-14,11767,1942,10263,1670,0.16503781762556302,0.16272045210951963
2021-09-15,7936,1147,6959,1003,0.14453125,0.1441299037217991
2021-09-16,1719,290,1440,245,0.16870273414776032,0.1701388888888889
2021-09-17,11943,1890,10542,1689,0.15825169555388094,0.16021627774615824
2021-09-18,3714,591,3288,506,0.1591276252019386,0.15389294403892945
2021-09-19,3299,364,2826,325,0.11033646559563504,0.11500353857041755
2021-09-20,12484,2020,10946,1784,0.1618071131047741,0.1629819112004385
2021-09-21,11141,1734,9701,1544,0.15564132483619064,0.1591588496031337
2021-09-22,12080,1871,10631,1633,0.1548841059602649,0.15360737465901608
2021-09-23,11112,1427,9640,1258,0.12841972642188626,0.13049792531120333
2021-09-24,11329,1397,9904,1266,0.12331185453261541,0.12782714054927302
2021-09-25,4694,510,4007,439,0.10864933958244567,0.10955827302221113
2021-09-26,3601,358,2991,288,0.09941682865870592,0.09628886659979939
2021-09-27,12182,1715,10408,1446,0.1407814808734198,0.1389315910837817
2021-09-28,10512,1374,9054,1138,0.13070776255707764,0.12569030262867242
2021-09-29,10471,1246,9105,1084,0.11899532040874797,0.11905546403075233
2021-09-30,7945,957,6915,820,0.12045311516677155,0.11858279103398409
2021-10-01,8327,954,7182,818,0.1145670709739402,0.113895850737956
2021-10-02,3431,365,2930,284,0.10638297872340426,0.09692832764505119
2021-10-03,2959,383,2402,265,0.12943562014193985,0.1103247293921732
2021-10-04,9967,1130,8562,930,0.11337413464432627,0.10861948142957253
2021-10-05,9740,1045,8405,894,0.10728952772073921,0.10636525877453896
2021-10-06,9375,1070,8122,880,0.11413333333333334,0.10834769761142576
2021-10-07,9311,865,8230,735,0.09290086993878209,0.08930741190765493
2021-10-08,9720,867,8448,781,0.08919753086419753,0.09244791666666667
2021-10-09,3039,261,2622,226,0.08588351431391905,0.08619374523264683
2021-10-10,3242,221,2678,199,0.06816779765576804,0.0743091859596714
2021-10-11,10825,1138,9474,982,0.1051270207852194,0.10365210048553937
2021-10-12,10254,817,8821,722,0.07967622391261947,0.08185013037070626
2021-10-13,10881,668,9205,580,0.06139141623012591,0.06300923411189571
